t,x,y,z
1735187286.749145,-0.023102207,-4.9985014e-05,-0.00052230293
1735187286.760093,-0.023113778,-5.1551906e-05,-0.00052248896
1735187286.770858,-0.023119444,-5.4269272e-05,-0.0005227274
1735187286.782249,-0.02310262,-5.6410732e-05,-0.00052277406
1735187286.7935271,-0.023072727,-5.928334e-05,-0.0005214889
1735187286.804607,-0.023029117,-6.227207e-05,-0.00051990664
1735187286.815922,-0.023021344,-6.2123116e-05,-0.0005209452
1735187286.827114,-0.023021987,-6.0978113e-05,-0.00052087184
1735187286.838103,-0.023032496,-5.8665988e-05,-0.00052140746
1735187286.84931,-0.02304935,-6.0231425e-05,-0.00052134856
1735187286.86042,-0.02307446,-6.312685e-05,-0.000521471
1735187286.871276,-0.023107776,-6.743241e-05,-0.0005216689
1735187286.882788,-0.023100449,-6.645254e-05,-0.0005225239
1735187286.893862,-0.023079406,-6.490073e-05,-0.00052328064
1735187286.90465,-0.023043334,-6.2076826e-05,-0.0005241744
1735187286.915882,-0.023029678,-6.156148e-05,-0.0005255802
1735187286.926723,-0.023017941,-6.064237e-05,-0.0005238568
1735187286.937642,-0.023009293,-6.0163613e-05,-0.0005211099
1735187286.948851,-0.023005275,-5.9102607e-05,-0.0005198628
1735187286.9598951,-0.02300489,-5.6159042e-05,-0.00052065385
1735187286.971428,-0.023008138,-5.2460644e-05,-0.0005218227
1735187286.982166,-0.02302751,-5.0426926e-05,-0.00052226346
1735187286.9932652,-0.023056136,-4.8920338e-05,-0.0005227763
1735187287.004301,-0.023094304,-4.7833833e-05,-0.0005234409
1735187287.0155091,-0.023084296,-4.815223e-05,-0.00052356895
1735187287.026572,-0.023058018,-4.9833965e-05,-0.00052300165
1735187287.0376658,-0.02301376,-5.2408028e-05,-0.00052193715
1735187287.0489058,-0.023017537,-5.1165058e-05,-0.0005221586
1735187287.0600162,-0.023032827,-4.9330527e-05,-0.00052272476
1735187287.071007,-0.023061646,-4.638621e-05,-0.000523654
1735187287.082182,-0.023091344,-4.601013e-05,-0.0005250686
1735187287.093312,-0.023128847,-4.7337497e-05,-0.0005248685
1735187287.104344,-0.023173967,-4.9459923e-05,-0.0005242048
1735187287.115797,-0.023150014,-4.9164868e-05,-0.0005250038
1735187287.1268,-0.023099288,-5.0551665e-05,-0.00052396965
1735187287.137754,-0.0230198,-5.143881e-05,-0.00052265025
1735187287.148917,-0.023018569,-5.002995e-05,-0.0005230689
1735187287.160017,-0.02303658,-4.9316033e-05,-0.00052280264
1735187287.171073,-0.023076776,-4.7865906e-05,-0.0005228613
1735187287.182269,-0.023087481,-4.5547495e-05,-0.0005230136
1735187287.193379,-0.023097098,-4.232902e-05,-0.00052272377
1735187287.204577,-0.023104258,-3.834156e-05,-0.0005224425
1735187287.215706,-0.023104059,-3.908534e-05,-0.00052365236
1735187287.226738,-0.023103608,-3.9434875e-05,-0.0005226583
1735187287.237757,-0.02309803,-4.176551e-05,-0.0005214368
1735187287.249057,-0.023088425,-4.5006105e-05,-0.0005202675
1735187287.2600489,-0.023104455,-4.2823838e-05,-0.00051958964
1735187287.271151,-0.023130972,-3.844063e-05,-0.000518947
1735187287.2822452,-0.023167694,-3.0372641e-05,-0.00051860925
1735187287.2934,-0.023203628,-2.8638693e-05,-0.00051759405
1735187287.304438,-0.023244351,-2.7845439e-05,-0.0005163292
1735187287.315976,-0.023289017,-2.8469365e-05,-0.0005139741
1735187287.3268108,-0.023306215,-2.5002633e-05,-0.00051223073
1735187287.338088,-0.023312114,-2.0348347e-05,-0.00051004963
1735187287.348967,-0.02330756,-1.4488348e-05,-0.00050890574
1735187287.359987,-0.023316406,-1.398701e-05,-0.0005071432
1735187287.371106,-0.023326429,-1.5268684e-05,-0.00050596
1735187287.3822742,-0.023337226,-1.6517188e-05,-0.0005080349
1735187287.393344,-0.023336943,-1.6541158e-05,-0.0005066761
1735187287.404406,-0.023331717,-1.5657803e-05,-0.0005057736
1735187287.41581,-0.023320815,-1.3979152e-05,-0.00050909317
1735187287.426667,-0.023283876,-9.132782e-06,-0.0005059824
1735187287.437745,-0.023231415,-2.7945498e-06,-0.0005029263
1735187287.448957,-0.023166059,4.0996238e-06,-0.0005036407
1735187287.460006,-0.02316206,6.598324e-06,-0.0005007227
