id,hash_a,hash_b,hash_c,hash_d,vector_abc,vector_abd,vector_acd,vector_bcd
34,0530,53015,30150,1505,[35 21  5],[  6  70 -40],[31 41 -5],[21 -9 25]
35,0530,53020,30200,2005,[ 35  40 -40],[ 25  20 -35],[ 50  10 -55],[ 40 -40 -35]
36,0530,53025,30250,2505,[35 22 15],[  7  70 -30],[32 42 -5],[22 -8  5]
37,0530,53035,30350,3505,[35 23 25],[  8  70 -20],[33 43 -5],[ 23  -7 -15]
38,0530,53040,30400,4005,[ 35  60 -20],[ 45  20 -15],[ 70  30 -55],[ 60 -20 -75]
39,0530,53045,30450,4505,[35 24 35],[  9  70 -10],[34 44 -5],[ 24  -6 -35]
40,0530,53050,30500,5005,[ 35  70 -10],[55 20 -5],[ 80  40 -55],[ 70 -10 -95]
41,0535,53510,35100,1005,[ 40  35 -60],[ 15  25 -55],[ 45   0 -65],[ 35 -60 -15]
42,0535,53515,35150,1505,[40 26 -5],[  6  75 -50],[ 36  41 -15],[ 26 -19  25]
43,0535,53520,35200,2005,[ 40  45 -50],[ 25  25 -45],[ 55  10 -65],[ 45 -50 -35]
44,0535,53525,35250,2505,[40 27  5],[  7  75 -40],[ 37  42 -15],[ 27 -18   5]
45,0535,53530,35300,3005,[ 40  55 -40],[ 35  25 -35],[ 65  20 -65],[ 55 -40 -55]
